,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
0,0,C1000,C1000FP,Martin Street Baptist Church,919-833-9756,"2nd Saturday of each month, 10am-11am","1001 E Martin St, Raleigh, NC 27601",27601,Wake,Confirmed,35.7766549,-78.6236533,Food Distribution,Food Pantries,Drive through,,C1000,"2nd Saturday of each month, 10am-11am","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1""
        ]
    }
]",Saturday,10,10:00–11:59
1,1,C1001,C1001FP,Cross Point Community Church Mobile Market,919-427-6677,"1st Saturday of each month, 8am-11am","1001 Steeple Square Court, Knightdale, NC 27545",27545,Wake,Confirmed,35.8018234,-78.48984449999999,Food Distribution,Food Pantries,Drive through,,C1001,"1st Saturday of each month, 8am-11am","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""08:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1""
        ]
    }
]",Saturday,8,08:00–09:59
4,2,C1002,C1002FP,Wilson Temple,919-828-9989,"2nd and 4th Saturdays, 11am -1pm; HOLIDAY CHANGES: December dates: 2nd and 3rd Saturdays","1023 Oberlin Rd, Raleigh, NC 27605",27605,Wake,Confirmed,35.7977452,-78.6603289,Food Distribution,Food Pantries,,,C1002,"2nd and 4th Saturdays, 11am -1pm; HOLIDAY CHANGES: December dates: 2nd and 3rd Saturdays","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""2"",
            ""3""
        ]
    }
]",Saturday,11,10:00–11:59
8,3,C1003,C1003FP,Wake Forest Baptist Church Mobile Market,919-556-5141,"3rd Tuesday of the month, 4:30pm-6pm","107 E. South Av, Wake Forest, NC 27601",27601,Wake,Confirmed,35.7744301,-78.6313624,Food Distribution,Food Pantries,,,C1003,"3rd Tuesday of the month, 4:30pm-6pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""04:30 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""3""
        ]
    }
]",Tuesday,16,16:00–17:59
10,4,C1004,C1004FP,Cary Church,919-467-0537,Saturdays (1st & 2nd weeks starting at 11 am),107 Quade Drive Cary NC 27513,27513,Wake,Confirmed,35.8168807,-78.8037286,Food Distribution,Food Pantries,,,C1004,Saturdays (1st & 2nd weeks starting at 11 am),"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    }
]",Saturday,11,10:00–11:59
11,5,C1005,C1005FP,Christ Community UMC,919-553-9770,2nd Saturday 9am,1082 Amelia Church Road Clayton 27520,27520,Wake,Confirmed,35.6465883,-78.4912021,Food Distribution,Food Pantries,,,C1005,2nd Saturday 9am,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""2""
        ]
    }
]",Saturday,9,08:00–09:59
12,6,C1007,C1007FP,Glory Tabernacle,919-906-9384,Tuesdays (2-4 pm),"120 Weathers Street, Youngsville, NC 27596",27596,Wake,Confirmed,36.0347782,-78.4981911,Food Distribution,Food Pantries,,,C1007,Tuesdays (2-4 pm),"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,14,14:00–15:59
14,7,C1008,C1008FP,Cristo La Solucion,919-790-0266,Thursday 8pm Sunday 10am,"1205 N Smithfield Rd Knightdale, NC 27545",27545,Wake,Confirmed,35.7997875,-78.48746109999999,Food Distribution,Food Pantries,,,C1008,Thursday 8pm Sunday 10am,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:00 pm"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,20,20:00–21:59
15,7,C1008,C1008FP,Cristo La Solucion,919-790-0266,Thursday 8pm Sunday 10am,"1205 N Smithfield Rd Knightdale, NC 27545",27545,Wake,Confirmed,35.7997875,-78.48746109999999,Food Distribution,Food Pantries,,,C1008,Thursday 8pm Sunday 10am,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:00 pm"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Sunday,10,10:00–11:59
16,8,C1009,C1009FP,FEED Ministry: North Wake Church,919-556-1546,Sunday (8:45 - 10:15 am),"1212 South Main Street, # 2 Wake Forest NC27587",27587,Wake,Confirmed,35.9630468,-78.51859920000001,Food Distribution,Food Pantries,,,C1009,Sunday (8:45 - 10:15 am),"[
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""08:45 am"",
        ""Closing_Hour"": ""10:15 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Sunday,8,08:00–09:59
19,9,C1010,C1010FP,The Father's Table-Calvary Faith Center,No phone # listed,3rd Saturday,"124 Tast Drive, Wendell, NC 27591",27591,Wake,Confirmed,35.7075725,-78.36271839999999,Food Distribution,Food Pantries,,,C1010,3rd Saturday,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""08:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""3""
        ]
    }
]",Saturday,8,08:00–09:59
22,10,C1011,C1011FP,Lincoln Park Food Distribution Ministry,984-200-4427,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","13 Heath St, Raleigh, NC 27610",27610,Wake,Confirmed,35.7792865,-78.61691069999999,Food Distribution,Food Pantries,,,C1011,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,14,14:00–15:59
24,10,C1011,C1011FP,Lincoln Park Food Distribution Ministry,984-200-4427,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","13 Heath St, Raleigh, NC 27610",27610,Wake,Confirmed,35.7792865,-78.61691069999999,Food Distribution,Food Pantries,,,C1011,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,14,14:00–15:59
26,10,C1011,C1011FP,Lincoln Park Food Distribution Ministry,984-200-4427,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","13 Heath St, Raleigh, NC 27610",27610,Wake,Confirmed,35.7792865,-78.61691069999999,Food Distribution,Food Pantries,,,C1011,"Tuesdays and Thursdays, 2pm-4pm; Saturdays, 2pm-3pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,14,14:00–15:59
27,11,C1012,C1012FP,St. Augustineâ€™s University,919-516-4580,Tuesdays & Thursdays 9 am to 1 pm,"1315 Oakwood Avenue, Hunter 201Raleigh, NC 27610",27610,Wake,Confirmed,35.7874184,-78.6193035,Food Distribution,Food Pantries,,,C1012,Tuesdays & Thursdays 9 am to 1 pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
31,11,C1012,C1012FP,St. Augustineâ€™s University,919-516-4580,Tuesdays & Thursdays 9 am to 1 pm,"1315 Oakwood Avenue, Hunter 201Raleigh, NC 27610",27610,Wake,Confirmed,35.7874184,-78.6193035,Food Distribution,Food Pantries,,,C1012,Tuesdays & Thursdays 9 am to 1 pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,9,08:00–09:59
35,12,C1013,C1013FP,Bread for Life Mobile Market at the Boys and Girls Club of Zebulon,919-492-0783,"3rd Saturday of each month, 9am-10pm","1320 Shephard School Rd, Zebulon, NC 27597",27597,Wake,Confirmed,35.837176,-78.31384609999999,Food Distribution,Food Pantries,Drive Through,,C1013,"3rd Saturday of each month, 9am-10pm","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3""
        ]
    }
]",Saturday,9,08:00–09:59
